"Organization","City","State","Amount","Status","name"
"MEASURES FOR JUSTICE INSTITUTE","ROCHESTER","NY"," $254,094 ","Subaward","New York"
"MEASURES FOR JUSTICE INSTITUTE","ROCHESTER","NY"," $236,169 ","Subaward","New York"
"MEASURES FOR JUSTICE INSTITUTE","ROCHESTER","NY"," $222,750 ","Subaward","New York"
"MENTAL HEALTH ASSOCIATION OF ERIE COUNTY","BUFFALO","NY"," $129,390 ","Subaward","New York"
"MICHIGAN CASA INC","GRAND RAPIDS","MI"," $50,612 ","Subaward","Michigan"
"MICHIGAN INDIAN LEGAL SERVICES, INC","TRAVERSE CITY","MI"," $137,800 ","Subaward","Michigan"
"MICHIGAN ORGANIZATION ON ADOLSCENT SEXUAL HEALTH","ANN ARBOR","MI"," $94,863 ","Subaward","Michigan"
"MICHIGAN ORGANIZATION ON ADOLSCENT SEXUAL HEALTH","ANN ARBOR","MI"," $38,050 ","Subaward","Michigan"
"MICHIGAN STATE UNIVERSITY","EAST LANSING","MI"," $224,087 ","Subaward","Michigan"
"MICHIGAN STATE UNIVERSITY","EAST LANSING","MI"," $422,848 ","Subaward","Michigan"
"MIFFLIN COUNTY REGIONAL POLICE","LEWISTOWN","PA"," $200,000 ","Subaward","Pennsylvania"
"MISSOURI CASA ASSOCIATION","COLUMBIA","MO"," $39,400 ","Subaward","Missouri"
"MOMS ON A MISSION","SHREVEPORT","LA"," $250,000 ","Subaward","Louisiana"
"MONONGALIA COUNTY YOUTH SERVICES CENTER INC","MORGANTOWN","WV"," $30,900 ","Subaward","West Virginia"
"MONTANA CASA/GAL ASSOCIATION","MISSOULA","MT"," $78,800 ","Subaward","Montana"
"MONTANA CASA/GAL ASSOCIATION","MISSOULA","MT"," $94,373 ","Subaward","Montana"
"MONTANA LEGAL SERVICES ASSOCIATION","HELENA","MT"," $-   ","Subaward","Montana"
"MONTCLAIR STATE UNIVERSITY","MONTCLAIR","NJ"," $223,494 ","Subaward","New Jersey"
"MORRIS COUNTY PREVENTION IS KEY, INC","ROCKAWAY","NJ"," $909,744 ","Subaward","New Jersey"
"MORRIS COUNTY PREVENTION IS KEY, INC","ROCKAWAY","NJ"," $909,744 ","Subaward","New Jersey"
"MOSS GROUP INC","WASHINGTON","DC"," $549,569 ","Subaward",NA
"MOSS GROUP INC, THE","WASHINGTON","DC"," $649,373 ","Subaward",NA
"MOSS GROUP LLC","WASHINGTON","DC"," $376,667 ","Subaward",NA
"MUSCOGEE CREEK NATION","OKMULGEE","OK"," $113,182 ","Subaward","Oklahoma"
"MUTE THE VIOLENCE DC","WASHINGTON","DC"," $200,000 ","Subaward",NA
"NATIONAL AMERICAN INDIAN COURT JUDGES ASSOCIATION","BOULDER","CO"," $150,000 ","Subaward","Colorado"
"NATIONAL ASSOCIATION OF COUNTIES","WASHINGTON","DC"," $365,267 ","Subaward",NA
"NATIONAL ASSOCIATION OF COUNTIES RESEARCH FOUNDATION","WASHINGTON","DC"," $183,423 ","Subaward",NA
"NATIONAL ASSOCIATION OF CRIMINAL DEFENSE LAWYERS INC.","WASHINGTON","DC"," $100,598 ","Subaward",NA
"NATIONAL ASSOCIATION OF PRETRIAL SERVICES AGENCIES","WASHINGTON","DC"," $210,000 ","Subaward",NA
"NATIONAL ASSOCIATION OF STATE EMERGENCY MEDICAL SERVICES OFFICIALS","FALLS CHURCH","VA"," $24,000 ","Subaward","Virginia"
"NATIONAL ASSOCIATION OF STATE EMERGENCY MEDICAL SERVICES OFFICIALS","FALLS CHURCH","VA"," $119,554 ","Subaward","Virginia"
"NATIONAL ASSOCIATION OF STATE MENTAL HEALTH PROGRAM DIRECTORS INC.","ALEXANDRIA","VA"," $32,116 ","Subaward","Virginia"
"NATIONAL ASSOCIATION OF WOMEN LAW ENFORCEMENT EXECUTIVES INC","LENEXA","KS"," $151,786 ","Subaward","Kansas"
"THE NATIONAL ASSOCIATION OF WOMEN LAW ENFORCEMENT EXECUTIVES INC","LENEXA","KS"," $250,000 ","Subaward","Kansas"
"NATIONAL CENTER FOR STATE COURTS","WILLIAMSBURG","VA"," $411,000 ","Subaward","Virginia"
"NATIONAL CENTER FOR VICTIMS OF CRIME INC","ARLINGTON","VA"," $150,000 ","Subaward","Virginia"
"NATIONAL CENTER FOR VICTIMS OF CRIME, INC.","ARLINGTON","VA"," $760,000 ","Subaward","Virginia"
"NATIONAL CONFERENCE OF STATE LEGISLATURES","DENVER","CO"," $197,528 ","Subaward","Colorado"
"NATIONAL COUNCIL OF JUVENILE AND FAMILY COURT JUDGES","RENO","NV"," $150,000 ","Subaward","Nevada"
"NATIONAL CRIME VICTIM LAW INSTITUTE","PORTLAND","OR"," $545,000 ","Subaward","Oregon"
"NATIONAL CRIMINAL JUSTICE ASSOCIATION","WASHINGTON","DC"," $60,000 ","Subaward",NA
"NATIONAL CRIMINAL JUSTICE ASSOCIATION","WASHINGTON","DC"," $253,201 ","Subaward",NA
"NATIONAL DISTRICT ATTORNEYS ASSOCIATION","ARLINGTON","VA"," $67,182 ","Subaward","Virginia"
"NATIONAL DISTRICT ATTORNEYS ASSOCIATION","ARLINGTON","VA"," $330,225 ","Subaward","Virginia"
"NATIONAL DISTRICT ATTORNEYS ASSOCIATION","ARLINGTON","VA"," $325,000 ","Subaward","Virginia"
"NATIONAL DISTRICT ATTORNEYS ASSOCIATION","ARLINGTON","VA"," $74,996 ","Subaward","Virginia"
"NATIONAL GOVERNORS ASSOCIATION CENTER FOR BEST PRACTICES","WASHINGTON","DC"," $253,047 ","Subaward",NA
"NATIONAL GOVERNORS ASSOCIATION CENTER FOR BEST PRACTICES","WASHINGTON","DC"," $101,572 ","Subaward",NA
"NATIONAL GOVERNORS ASSOCIATION CENTER FOR BEST PRACTICES","WASHINGTON","DC"," $813,933 ","Subaward",NA
"NATIONAL HARM REDUCTION COALITION","NEW YORK","NY"," $101,247 ","Subaward","New York"
"NATIONAL INSTITUTE FOR CRIMINAL JUSTICE REFORM","BERKELEY","CA"," $497,027 ","Subaward","California"
"NATIONAL ORGANIZATION OF BLACK LAW ENFORCEMENT EXECUTIVES","ALEXANDRIA","VA"," $40,000 ","Subaward","Virginia"
"NATIONAL ORGANIZATION OF BLACK LAW ENFORCEMENT EXECUTIVES","ALEXANDRIA","VA"," $250,000 ","Subaward","Virginia"
"NATIONAL ORGANIZATION OF BLACK LAW ENFORCEMENT EXECUTIVES","ALEXANDRIA","VA"," $22,000 ","Subaward","Virginia"
"NATIONAL ORGANIZATION OF BLACK LAW ENFORCEMENT EXECUTIVES","ALEXANDRIA","VA"," $161,917 ","Subaward","Virginia"
"NATIONAL ORGANIZATION OF BLACK LAW ENFORCEMENT EXECUTIVES","ALEXANDRIA","VA"," $40,000 ","Subaward","Virginia"
"NATIONAL ORGANIZATION OF SISTERS OF COLOR ENDING SEXUAL ASSAULT INC","WINDSOR","CT"," $360,409 ","Subaward","Connecticut"
"NATIONAL PARTNERSHIP FOR JUVENILE SERVICES INC","LEXINGTON","KY"," $40,000 ","Subaward","Kentucky"
"NATIONAL POLICING INSTITUTE","ARLINGTON","VA"," $185,000 ","Subaward","Virginia"
"NATIONAL POLICING INSTITUTE","ARLINGTON","VA"," $90,000 ","Subaward","Virginia"
"NATIONAL POLICING INSTITUTE","ARLINGTON","VA"," $76,850 ","Subaward","Virginia"
"NATIONAL SHERIFFS ASSOCIATION","ALEXANDRIA","VA"," $30,000 ","Subaward","Virginia"
"NATIONAL SHERIFFS ASSOCIATION","ALEXANDRIA","VA"," $50,000 ","Subaward","Virginia"
"NATIONAL SHERIFFS ASSOCIATION","ALEXANDRIA","VA"," $22,000 ","Subaward","Virginia"
"NATIONAL SHERIFFS' ASSOCIATION","ALEXANDRIA","VA"," $80,000 ","Subaward","Virginia"
"NEIGHBORHOOD RESILIENCE PROJECT","PITTSBURGH","PA"," $80,000 ","Subaward","Pennsylvania"
"NEVADA CASA ASSOCIATION, INC.","HENDERSON","NV"," $54,855 ","Subaward","Nevada"
"NEVADA DEPARTMENT OF SENTENCING POLICY","CARSON CITY","NV"," $45,208 ","Subaward","Nevada"
"NEW ENGLAND ARAB AMERICAN ORGANIZATION","WESTBROOK","ME"," $88,461 ","Subaward","Maine"
"NEW ENGLAND ARAB AMERICAN ORGANIZATION","WESTBROOK","ME"," $3,391 ","Subaward","Maine"
"NEW MEXICO CASA ASSOCIATION INC","NEW YORK","NY"," $35,100 ","Subaward","New York"
"NEW MEXICO IMMIGRANT LAW CENTER","ALBUQUERQUE","NM"," $202,300 ","Subaward","New Mexico"
"NEW MEXICO KIDS MATTER INC","ALBUQUERQUE","NM"," $52,781 ","Subaward","New Mexico"
"NEW YORK CITY ADMINISTRATION FOR CHILDRENS SERVICES","NEW YORK","NY"," $189,354 ","Subaward","New York"
"NEW YORK UNIVERSITY","NEW YORK","NY"," $576,652 ","Subaward","New York"
"NEW YORK UNIVERSITY","NEW YORK","NY"," $34,667 ","Subaward","New York"
"NEW YORK UNIVERSITY","NEW YORK","NY"," $186,300 ","Subaward","New York"
"NORTH CAROLINA STATE UNIVERSITY","RALEIGH","NC"," $49,215 ","Subaward","North Carolina"
"NORTHEASTERN UNIVERSITY","BOSTON","MA"," $99,999 ","Subaward","Massachusetts"
"NORTHWEST JUSTICE PROJECT","SEATTLE","WA"," $137,800 ","Subaward","Washington"
"NORTHWEST PROFESSIONAL CONSORTIUM, INC.","PORTLAND","OR"," $50,000 ","Subaward","Oregon"
"OCEAN MENTAL HEALTH SERVICES INC","BAYVILLE","NJ"," $909,744 ","Subaward","New Jersey"
"OFFENDER AID AND RESTORATION OF CHARLOTTESVILLE-ALBEMARLE, INC.","CHARLOTTESVILLE","VA"," $111,000 ","Subaward","Virginia"
"ONE VOICE UNITED INC","BELMONT","MA"," $200,000 ","Subaward","Massachusetts"
"ONEIDA CITY POLICE DEPARTMENT","ONEIDA","NY"," $37,876 ","Subaward","New York"
"OPTIONS RECOVERY SERVICES","BERKELEY","CA"," $43,995 ","Subaward","California"
"OTB HOUSING, LLC","NEW LONDON","WI"," $21,938 ","Subaward","Wisconsin"
"OVERDOSE-LIFELINE INC","INDIANAPOLIS","IN"," $59,580 ","Subaward","Indiana"
"PARTNER FOR MENTAL HEALTH","CHARLOTTESVILLE","VA"," $111,000 ","Subaward","Virginia"
"PHILADELPHIA LEGAL ASSISTANCE CENTER, INC.","PHILADELPHIA","PA"," $137,800 ","Subaward","Pennsylvania"
"POLICE EXECUTIVE RESEARCH FORUM","WASHINGTON","DC"," $348,948 ","Subaward",NA
"PRECIOUS BLOOD MINISTRY OF RECONCILIATION NFP","CHICAGO","IL"," $11,579 ","Subaward","Illinois"
"PRO SE POTENTIAL","AUBURN","WA"," $16,960 ","Subaward","Washington"
"PROJECT HOOD COMMUNITIES DEVELOPMENT CORP","CHICAGO","IL"," $400,000 ","Subaward","Illinois"
"PROVIDENCE HEALTH & SERVICES-WASHINGTON","EVERETT","WA"," $151,337 ","Subaward","Washington"
"PUBLIC DEFENDER ASSOCIATION","SEATTLE","WA"," $80,048 ","Subaward","Washington"
"PUBLIC LAW CENTER","SANTA ANA","CA"," $137,800 ","Subaward","California"
"PULASKI COUNTY JUVENILE DETENTION CENTER","LITTLE ROCK","AR"," $50,000 ","Subaward","Arkansas"
"RECIDIVIZ INC","SAN FRANCISCO","CA"," $1,998,136 ","Subaward","California"
"RECIDIVIZ INC","SAN FRANCISCO","CA"," $477,485 ","Subaward","California"
"RED SPRINGS, TOWN OF","RED SPRINGS","NC"," $150,000 ","Subaward","North Carolina"
"RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK","BRONX","NY"," $199,887 ","Subaward","New York"
"RESEARCH TRIANGLE INSTITUTE INTERNATIONAL, LLC","DURHAM","NC"," $59,897 ","Subaward","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC"," $79,913 ","Subaward","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","DURHAM","NC"," $200,000 ","Subaward","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","RESEARCH TRIANGLE PARK","NC"," $150,000 ","Subaward","North Carolina"
"RESEARCH TRIANGLE INSTITUTE","RESEARCH TRIANGLE PARK","NC"," $411,000 ","Subaward","North Carolina"
"RESOLUTION CENTER OF JEFFERSON AND LEWIS COUNTIES, INC.","WATERTOWN","NY"," $86,247 ","Subaward","New York"
"REVIVE ROOTS PLLC","MINNEAPOLIS","MN"," $92,400 ","Subaward","Minnesota"
"REVIVE ROOTS PLLC","MINNEAPOLIS","MN"," $12,817 ","Subaward","Minnesota"
"REVIVE ROOTS PLLC","MINNEAPOLIS","MN"," $14,245 ","Subaward","Minnesota"
"RICHLAND COUNTY COURT APPOINTED SPECIAL ADVOCATES","COLUMBIA","SC"," $70,000 ","Subaward","South Carolina"
"RITE OF PASSAGE ADOLESCENT TREATMENT CENTERS & SCHOOLS INC","MINDEN","NV"," $198,946 ","Subaward","Nevada"
"RULO STRATEGIES LLC","MCLEAN","VA"," $252,000 ","Subaward","Virginia"
"RULO STRATEGIES LLC","CHESTER","VA"," $99,852 ","Subaward","Virginia"
"RULO STRATEGIES LLC","CHESTER","VA"," $99,932 ","Subaward","Virginia"
"RULO STRATEGIES LLC","MCLEAN","VA"," $71,352 ","Subaward","Virginia"
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","NEWARK","NJ"," $909,744 ","Subaward","New Jersey"
"SAINT LOUIS COUNTY ADMINISTRATION BUILDING","DULUTH","MN"," $100,000 ","Subaward","Minnesota"
"SANCTUARY FOR FAMILIES INC","NEW YORK","NY"," $137,800 ","Subaward","New York"
"SEARCH GROUP, INCORPORATED","SACRAMENTO","CA"," $350,000 ","Subaward","California"
"SELMA CENTER","SELMA","AL"," $250,000 ","Subaward","Alabama"
"SHENANDOAH WOMENS CENTER, INC.","MARTINSBURG","WV"," $59,781 ","Subaward","West Virginia"
"SHENANDOAH WOMENS CENTER, INC.","MARTINSBURG","WV"," $5,467 ","Subaward","West Virginia"
"SILENCE IS VIOLENCE","NEW ORLEANS","LA"," $250,000 ","Subaward","Louisiana"
"SOCIAL AND ENVIRONMENTAL ENTREPRENEURS (SEE), INC.","CALABASAS","CA"," $250,000 ","Subaward","California"
"SODHA Q ENTERPRISES LLC","BETHESDA","MD"," $235,780 ","Subaward","Maryland"
"SOUTHEAST LOUISIANA LEGAL SERVICES CORP","HAMMOND","LA"," $137,800 ","Subaward","Louisiana"
"STEVENS COUNTY","COLVILLE","WA"," $100,000 ","Subaward","Washington"
"STRUGGLE OF LOVE FOUNDATION","DENVER","CO"," $200,000 ","Subaward","Colorado"
"SUBSTANTIAL MEDIA LLC","KNIGHTDALE","NC"," $96,250 ","Subaward","North Carolina"
"SUBSTANTIAL MEDIA LLC","KNIGHTDALE","NC"," $25,002 ","Subaward","North Carolina"
"SUFFOLK UNIVERSITY","BOSTON","MA"," $48,278 ","Subaward","Massachusetts"
"SUNFLOWER CHILDREN'S COLLECTIVE, INC.","MANHATTAN","KS"," $75,000 ","Subaward","Kansas"
"TALBERT HOUSE","CINCINNATI","OH"," $149,313 ","Subaward","Ohio"
"TAMAQUA BOROUGH AUTHORITY","TAMAQUA","PA"," $150,000 ","Subaward","Pennsylvania"
"TAMAQUA BOROUGH OF BORO MANAGER OFF","TAMAQUA","PA"," $50,000 ","Subaward","Pennsylvania"
"TARGET AREA DEVELOPMENT CORPORATION","CHICAGO","IL"," $400,000 ","Subaward","Illinois"
"TARRANT COUNTY","FORT WORTH","TX"," $150,000 ","Subaward","Texas"
"TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION","PHILADELPHIA","PA"," $229,821 ","Subaward","Pennsylvania"
"TEXAS HARM REDUCTION ALLIANCE","AUSTIN","TX"," $22,932 ","Subaward","Texas"
"TEXAS RIOGRANDE LEGAL AID, INC","MERCEDES","TX"," $137,800 ","Subaward","Texas"
"TEXAS SOUTHERN UNIVERSITY","HOUSTON","TX"," $80,998 ","Subaward","Texas"
"TEXAS SOUTHERN UNIVERSITY","HOUSTON","TX"," $80,998 ","Subaward","Texas"
"THE AMERICAN CORRECTIONAL ASSOCIATION","ALEXANDRIA","VA"," $4,473 ","Subaward","Virginia"
"THE BRIDGE AGENCY INC","BATON ROUGE","LA"," $250,000 ","Subaward","Louisiana"
"THE CATEY GROUP, LLC","ROCKVILLE","MD"," $3,250 ","Subaward","Maryland"
"THE FORTUNE SOCIETY, INC.","LONG ISLAND CITY","NY"," $156,580 ","Subaward","New York"
"THE GERLICHER GROUP LLC","MINNETONKA","MN"," $21,938 ","Subaward","Minnesota"
"THE INTERNATIONAL ORGANIZATION FOR ADOLESCENTS, INCORPORATED","CHICAGO","IL"," $43,824 ","Subaward","Illinois"
"THE JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD"," $344,237 ","Subaward","Maryland"
"THE JUSTICE LEAGUE","POWELL","OH"," $137,800 ","Subaward","Ohio"
"THE OFFICE OF THE CHILD ADVOCATE","WILMINGTON","DE"," $63,812 ","Subaward","Delaware"
"THE SEXUAL ASSAULT SPOUSE ABUSE RESOURCE CENTER, INC","BEL AIR","MD"," $110,000 ","Subaward","Maryland"
"THE T.I.M.E. ORGANIZATION, INC.","BALTIMORE","MD"," $60,000 ","Subaward","Maryland"
"THE UNIVERSITY OF IOWA","IOWA CITY","IA"," $29,792 ","Subaward","Iowa"
"THE URBAN INSTITUTE","WASHINGTON","DC"," $600,000 ","Subaward",NA
"THE URBAN INSTITUTE","WASHINGTON","DC"," $150,000 ","Subaward",NA
"THINK OUTSIDE DA BLOCK INC.","CHICAGO","IL"," $400,000 ","Subaward","Illinois"
"TOWN OF KENT","KENT LAKES","NY"," $107,778 ","Subaward","New York"
"TOWN OF PEMBROKE","PEMBROKE","NC"," $150,000 ","Subaward","North Carolina"
"TOWN OF ROWLAND TOWN HALL","ROWLAND","NC"," $150,000 ","Subaward","North Carolina"
"TREMONTON POLICE DEPARTMENT","TREMONTON","UT"," $129,636 ","Subaward","Utah"
"TRI-COUNTY COMMUNITY CORRECTIONS","CROOKSTON","MN"," $100,000 ","Subaward","Minnesota"
"TRINITAS REGIONAL MEDICAL CENTER","ELIZABETH","NJ"," $909,744 ","Subaward","New Jersey"
"TZEDEK DC INC","WASHINGTON","DC"," $137,800 ","Subaward",NA
"UCH-MHS","COLORADO SPRINGS","CO"," $161,654 ","Subaward","Colorado"
"UNIVERSITY OF ALABAMA","TUSCALOOSA","AL"," $163,468 ","Subaward","Alabama"
"UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL"," $599,999 ","Subaward","Alabama"
"UNIVERSITY OF CINCINNATI","CINCINNATI","OH"," $70,276 ","Subaward","Ohio"
"UNIVERSITY OF CONNECTICUT","STORRS","CT"," $131,448 ","Subaward","Connecticut"
"UNIVERSITY OF CONNECTICUT","STORRS","CT"," $343,076 ","Subaward","Connecticut"
"UNIVERSITY OF MARYLAND","COLLEGE PARK","MD"," $46,000 ","Subaward","Maryland"
"UNIVERSITY OF MARYLAND, BALTIMORE","BALTIMORE","MD"," $137,800 ","Subaward","Maryland"
"UNIVERSITY OF MARYLAND, COLLEGE PARK","COLLEGE PARK","MD"," $400,000 ","Subaward","Maryland"
"UNIVERSITY OF MASSACHUSETTS LOWELL","LOWELL","MA"," $152,865 ","Subaward","Massachusetts"
"UNIVERSITY OF MISSISSIPPI","UNIVERSITY","MS"," $100,000 ","Subaward","Mississippi"
"UNIVERSITY OF MISSOURI SYSTEM","COLUMBIA","MO"," $65,000 ","Subaward","Missouri"
"UNIVERSITY OF MISSOURI SYSTEM","KANSAS CITY","MO"," $259,415 ","Subaward","Missouri"
"UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL","CHAPEL HILL","NC"," $332,827 ","Subaward","North Carolina"
"UNIVERSITY OF SOUTH CAROLINA","COLUMBIA","SC"," $125,560 ","Subaward","South Carolina"
"UNIVERSITY OF TEXAS AT AUSTIN","AUSTIN","TX"," $326,167 ","Subaward","Texas"
"UNIVERSITY OF UTAH","SALT LAKE CITY","UT"," $49,970 ","Subaward","Utah"
"UPTRUST, INC.","SAN FRANCISCO","CA"," $62,430 ","Subaward","California"
"URBAN FAMILY CTR ASSN","TUKWILA","WA"," $25,799 ","Subaward","Washington"
"VA LEAGUE FOR SAFER STREETS INC.","RICHMOND","VA"," $150,000 ","Subaward","Virginia"
"VERA INSTITUTE OF JUSTICE","BROOKLYN","NY"," $130,000 ","Subaward","New York"
"VERNON, COUNTY OF","VIROQUA","WI"," $200,000 ","Subaward","Wisconsin"
"VERNON COUNTY","VIROQUA","WI"," $29,998 ","Subaward","Wisconsin"
"VOCES UNIDAS FOR JUSTICE","COLORADO SPRINGS","CO"," $117,916 ","Subaward","Colorado"
"VOICES FOR CHILDREN INC","SAN DIEGO","CA"," $50,000 ","Subaward","California"
"VOLUNTEERS FOR YOUTH JUSTICE","SHREVEPORT","LA"," $50,000 ","Subaward","Louisiana"
"WASHOE, COUNTY OF","RENO","NV"," $47,500 ","Subaward","Nevada"
"WAYNE COUNTY SHERIFF'S OFFICE","RICHMOND","IN"," $122,000 ","Subaward","Indiana"
"WEBSTER COUNTY","FORT DODGE","IA"," $202,250 ","Subaward","Iowa"
"WELD SEATTLE","SEATTLE","WA"," $32,841 ","Subaward","Washington"
"WELLBEING & EQUITY INNOVATIONS INC","TALLAHASSEE","FL"," $63,692 ","Subaward","Florida"
"WELLBEING & EQUITY INNOVATIONS INC","TALLAHASSEE","FL"," $2,400 ","Subaward","Florida"
"WELLBEING & EQUITY INNOVATIONS INC","TALLAHASSEE","FL"," $3,850 ","Subaward","Florida"
"WEST VIRGINIA CASA ASSOCIATION INC.","CHARLESTON","WV"," $94,900 ","Subaward","West Virginia"
"WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION","MORGANTOWN","WV"," $94,166 ","Subaward","West Virginia"
"WESTED","SAN FRANCISCO","CA"," $100,000 ","Subaward","California"
"WESTED","SAN FRANCISCO","CA"," $100,000 ","Subaward","California"
"WHITE, COUNTY OF","MONTICELLO","IN"," $82,000 ","Subaward","Indiana"
"WINNEBAGO COUNTY CASA","ROCKFORD","IL"," $35,000 ","Subaward","Illinois"
"WRIGHT COUNTY GOVERNMENT","BUFFALO","MN"," $100,000 ","Subaward","Minnesota"
"YELLOWSTONE CASA, INC.","BILLINGS","MT"," $53,796 ","Subaward","Montana"
"YOUTH MOVE NATIONAL, INC.","MILWAUKEE","WI"," $82,015 ","Subaward","Wisconsin"
"YOUTH MOVE NATIONAL, INC.","MILWAUKEE","WI"," $40,000 ","Subaward","Wisconsin"
"AAI FOUNDATION","WASHINGTON","DC","4e+05","Prime Award","District of Columbia"
"ACENDA INC","GLASSBORO","NJ","1500000","Prime Award","New Jersey"
"ACTIVATING CHANGE, INC.","BROOKLYN","NY","1500000","Prime Award","New York"
"ACTIVATING CHANGE, INC.","BROOKLYN","NY","1e+06","Prime Award","New York"
"ACTIVATING CHANGE, INC.","BROOKLYN","NY","5e+05","Prime Award","New York"
"ADVANCE PEACE","RICHMOND","CA","2e+06","Prime Award","California"
"ADVOCATES FOR HUMAN POTENTIAL INC","SUDBURY","MA","1126264","Prime Award","Massachusetts"
"AEQUITAS","WASHINGTON","DC","1231250","Prime Award","District of Columbia"
"ALLIANCE OF CONCERNED MEN (ACM)","WASHINGTON","DC","2e+06","Prime Award","District of Columbia"
"ALTARUM INSTITUTE","NOVI","MI","2500000","Prime Award","Michigan"
"AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES","ARLINGTON","VA","5150000","Prime Award","Virginia"
"AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES","ARLINGTON","VA","3862108","Prime Award","Virginia"
"AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES","ARLINGTON","VA","1095972","Prime Award","Virginia"
"AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES","ARLINGTON","VA","983482","Prime Award","Virginia"
"ASIAN PACIFIC AMERICAN LEGAL RESOURCE CENTER","WASHINGTON","DC","388843","Prime Award","District of Columbia"
"ASIYAH WOMEN'S CENTER INC","BROOKLYN","NY","2e+05","Prime Award","New York"
"ASSOCIATION OF PROSECUTING ATTORNEYS, INC","WASHINGTON","DC","2e+06","Prime Award","District of Columbia"
"ASSOCIATION OF PROSECUTING ATTORNEYS, INC","WASHINGTON","DC","2552675","Prime Award","District of Columbia"
"ASSOCIATION OF PROSECUTING ATTORNEYS, INC","WASHINGTON","DC","750000","Prime Award","District of Columbia"
"AVERA MCKENNAN","SIOUX FALLS","SD","1e+06","Prime Award","South Dakota"
"BLACK MENTAL HEALTH ALLIANCE FOR EDUCATION AND CONSULTATION, INC.","BALTIMORE","MD","1497989","Prime Award","Maryland"
"BUILD INC","CHICAGO","IL","5e+05","Prime Award","Illinois"
"BUILDING OPPORTUNITIES FOR SELF-SUFFICIENCY","BERKELEY","CA","641050","Prime Award","California"
"CASA FOR CHILDREN OF THE DISTRICT OF COLUMBIA","WASHINGTON","DC","66500","Prime Award","District of Columbia"
"CASALUZ","MEMPHIS","TN","399984.38","Prime Award","Tennessee"
"CENTER FOR EFFECTIVE PUBLIC POLICY, INCORPORATED","KENSINGTON","MD","5500000","Prime Award","Maryland"
"CENTER FOR EFFECTIVE PUBLIC POLICY, INCORPORATED","KENSINGTON","MD","1e+06","Prime Award","Maryland"
"CENTER FOR FAMILY SERVICES INC","CAMDEN","NJ","2e+06","Prime Award","New Jersey"
"CENTER FOR FAMILY SERVICES INC","CAMDEN","NJ","997351","Prime Award","New Jersey"
"CENTER FOR HOPE INC","BALTIMORE","MD","2e+06","Prime Award","Maryland"
"CENTRAL IOWA TRAUMA & RECOVERY CENTER","DES MOINES","IA","5e+05","Prime Award","Iowa"
"CENTRO CHA INC","LONG BEACH","CA","1500000","Prime Award","California"
"CHARLESTON JEWISH FEDERATION","CHARLESTON","SC","4e+05","Prime Award","South Carolina"
"CHICAGO CRED, INC.","CHICAGO","IL","3907706","Prime Award","Illinois"
"CHILDREN & YOUTH JUSTICE CENTER","SEATTLE","WA","4e+06","Prime Award","Washington"
"CHILDREN & YOUTH JUSTICE CENTER","SEATTLE","WA","2e+06","Prime Award","Washington"
"CHINESE AMERICAN SERVICE LEAGUE, INC.","CHICAGO","IL","150000","Prime Award","Illinois"
"CHINESE FOR AFFIRMATIVE ACTION","SAN FRANCISCO","CA","2e+06","Prime Award","California"
"CHRIS 180, INC.","ATLANTA","GA","997351","Prime Award","Georgia"
"CIRCLE OF BROTHERHOOD INC","MIAMI","FL","2e+06","Prime Award","Florida"
"CITY & COUNTY OF SAN FRANCISCO","SAN FRANCISCO","CA","1600000","Prime Award","California"
"CITY OF JERSEY CITY","JERSEY CITY","NJ","649065","Prime Award","New Jersey"
"CITY OF JERSEY CITY","JERSEY CITY","NJ","6e+05","Prime Award","New Jersey"
"CITY OF NEWARK NEW JERSEY","NEWARK","NJ","1200000","Prime Award","New Jersey"
"CIVIC HEART COMMUNITY SERVICES","HOUSTON","TX","50000","Prime Award","Texas"
"CLEVELAND PEACEMAKERS INC","CLEVELAND","OH","2e+06","Prime Award","Ohio"
"COALITION FOR JUVENILE JUSTICE","WASHINGTON","DC","6e+05","Prime Award","District of Columbia"
"COALITION FOR JUVENILE JUSTICE","WASHINGTON","DC","6e+05","Prime Award","District of Columbia"
"COASTLANDS MINISTRIES","MORAVIAN FALLS","NC","665653","Prime Award","North Carolina"
"COLLIN COUNTY MENTAL HEALTH MENTAL RETARDATION CENTER","MCKINNEY","TX","550000","Prime Award","Texas"
"COMMITTEE OF 100, INC","NEW YORK","NY","4e+05","Prime Award","New York"
